sku_id,store_id,week_start,region,units_sold,wow_delta_pct,zscore,is_anomaly
SKU-0008,ST-017,2024-05-20,South,6,0.0,0.0,False
SKU-0008,ST-017,2024-05-27,South,7,16.67,0.0,False
SKU-0008,ST-017,2024-06-03,South,9,28.57,0.0,False
SKU-0008,ST-017,2024-06-10,South,7,-22.22,0.0,False
SKU-0008,ST-017,2024-06-17,South,5,-28.57,-1.788,False
SKU-0008,ST-017,2024-06-24,South,6,20.0,-0.539,False
SKU-0008,ST-017,2024-07-01,South,7,16.67,0.244,False
SKU-0008,ST-017,2024-07-08,South,6,-14.29,-0.57,False
SKU-0008,ST-017,2024-07-15,South,5,-16.67,-1.368,False
SKU-0008,ST-017,2024-07-22,South,6,20.0,-0.382,False
SKU-0008,ST-017,2024-07-29,South,4,-33.33,-1.823,False
SKU-0008,ST-017,2024-08-05,South,5,25.0,-0.725,False
SKU-0008,ST-017,2024-08-12,South,4,-20.0,-1.62,False
SKU-0008,ST-017,2024-08-19,South,5,25.0,-0.354,False
SKU-0008,ST-017,2024-08-26,South,5,0.0,-0.242,False
SKU-0008,ST-017,2024-09-02,South,8,60.0,3.969,True
SKU-0008,ST-017,2024-09-09,South,5,-37.5,-0.195,False
SKU-0008,ST-017,2024-09-16,South,5,0.0,-0.195,False
SKU-0008,ST-017,2024-09-23,South,5,0.0,-0.1,False
SKU-0008,ST-017,2024-09-30,South,4,-20.0,-1.073,False
SKU-0008,ST-017,2024-10-07,South,5,25.0,-0.1,False
SKU-0008,ST-017,2024-10-14,South,5,0.0,-0.215,False
SKU-0008,ST-017,2024-10-21,South,4,-20.0,-1.073,False
SKU-0008,ST-017,2024-10-28,South,5,25.0,-0.1,False
SKU-0008,ST-017,2024-11-04,South,5,0.0,0.54,False
SKU-0008,ST-017,2024-11-11,South,6,20.0,2.7,True
SKU-0008,ST-017,2024-11-18,South,6,0.0,1.755,False
SKU-0008,ST-017,2024-11-25,South,5,-16.67,0.0,False
SKU-0008,ST-017,2024-12-02,South,6,20.0,1.365,False
SKU-0008,ST-017,2024-12-09,South,6,0.0,1.061,False
SKU-0008,ST-017,2024-12-16,South,6,0.0,0.84,False
SKU-0008,ST-017,2024-12-23,South,6,0.0,0.725,False
SKU-0008,ST-017,2024-12-30,South,7,16.67,2.7,True
SKU-0008,ST-017,2025-01-06,South,7,0.0,1.871,False
SKU-0008,ST-017,2025-01-13,South,7,0.0,1.365,False
SKU-0008,ST-017,2025-01-20,South,8,14.29,2.475,True
SKU-0008,ST-017,2025-01-27,South,7,-12.5,0.504,False
SKU-0008,ST-017,2025-02-03,South,8,14.29,1.768,False
SKU-0008,ST-017,2025-02-10,South,9,12.5,2.646,True
SKU-0008,ST-017,2025-02-17,South,7,-22.22,-0.409,False
SKU-0008,ST-017,2025-02-24,South,12,71.43,5.953,True
SKU-0008,ST-017,2025-03-03,South,10,-16.67,1.086,False
SKU-0008,ST-017,2025-03-10,South,7,-30.0,-0.846,False
SKU-0008,ST-017,2025-03-17,South,8,14.29,-0.282,False
SKU-0008,ST-017,2025-03-24,South,9,12.5,0.282,False
SKU-0008,ST-017,2025-03-31,South,8,-11.11,-0.449,False
SKU-0008,ST-017,2025-04-07,South,10,25.0,0.749,False
SKU-0008,ST-017,2025-04-14,South,7,-30.0,-1.086,False
SKU-0008,ST-017,2025-04-21,South,10,42.86,0.651,False
SKU-0008,ST-017,2025-04-28,South,9,-10.0,0.288,False
SKU-0008,ST-017,2025-05-05,South,7,-22.22,-1.255,False
SKU-0008,ST-017,2025-05-12,South,8,14.29,-0.418,False
SKU-0008,ST-017,2025-05-19,South,6,-25.0,-2.092,True
